Thu Jan 02 2014 00:00:00 GMT+0800 (China Standard Time),3.98,3.98,3.79,3.79,1900,3.79,NVCN
Fri Jan 03 2014 00:00:00 GMT+0800 (China Standard Time),3.77,3.77,3.77,3.77,25000,3.77,NVCN
Mon Jan 06 2014 00:00:00 GMT+0800 (China Standard Time),3.74,3.85,3.74,3.85,10300,3.85,NVCN
Tue Jan 07 2014 00:00:00 GMT+0800 (China Standard Time),3.82,3.82,3.82,3.82,7500,3.82,NVCN
Wed Jan 08 2014 00:00:00 GMT+0800 (China Standard Time),3.82,3.82,3.82,3.82,0,3.82,NVCN
Thu Jan 09 2014 00:00:00 GMT+0800 (China Standard Time),3.82,3.82,3.82,3.82,0,3.82,NVCN
Fri Jan 10 2014 00:00:00 GMT+0800 (China Standard Time),3.82,3.82,3.82,3.82,0,3.82,NVCN
Mon Jan 13 2014 00:00:00 GMT+0800 (China Standard Time),3.78,3.79,3.78,3.79,1300,3.79,NVCN
Tue Jan 14 2014 00:00:00 GMT+0800 (China Standard Time),3.77,3.98,3.77,3.98,1500,3.98,NVCN
Wed Jan 15 2014 00:00:00 GMT+0800 (China Standard Time),4.02,4.11,4.02,4.02,2600,4.02,NVCN
Thu Jan 16 2014 00:00:00 GMT+0800 (China Standard Time),4.04,4.09,4.04,4.09,3100,4.09,NVCN
Fri Jan 17 2014 00:00:00 GMT+0800 (China Standard Time),4.07,4.07,4.02,4.02,7000,4.02,NVCN
Tue Jan 21 2014 00:00:00 GMT+0800 (China Standard Time),3.99,3.99,3.99,3.99,2700,3.99,NVCN
Wed Jan 22 2014 00:00:00 GMT+0800 (China Standard Time),4,4,3.99,3.99,3000,3.99,NVCN
Thu Jan 23 2014 00:00:00 GMT+0800 (China Standard Time),3.94,3.94,3.93,3.94,500,3.94,NVCN
Fri Jan 24 2014 00:00:00 GMT+0800 (China Standard Time),3.95,3.95,3.95,3.95,2000,3.95,NVCN
Mon Jan 27 2014 00:00:00 GMT+0800 (China Standard Time),3.91,3.91,3.64,3.74,5700,3.74,NVCN
Tue Jan 28 2014 00:00:00 GMT+0800 (China Standard Time),3.69,3.69,3.57,3.57,1500,3.57,NVCN
Wed Jan 29 2014 00:00:00 GMT+0800 (China Standard Time),3.57,3.57,3.57,3.57,0,3.57,NVCN
Thu Jan 30 2014 00:00:00 GMT+0800 (China Standard Time),4,4,4,4,200,4,NVCN
Fri Jan 31 2014 00:00:00 GMT+0800 (China Standard Time),3.86,3.87,3.08,3.09,52200,3.09,NVCN
Mon Feb 03 2014 00:00:00 GMT+0800 (China Standard Time),3.63,4.45,3.63,4.26,5200,4.26,NVCN
