Thu Jan 02 2014 00:00:00 GMT+0800 (China Standard Time),4.67,4.68,4.41,4.5,126200,4.5,SMED
Fri Jan 03 2014 00:00:00 GMT+0800 (China Standard Time),4.5,4.56,4.35,4.35,20300,4.35,SMED
Mon Jan 06 2014 00:00:00 GMT+0800 (China Standard Time),4.32,4.52,4.32,4.33,29100,4.33,SMED
Tue Jan 07 2014 00:00:00 GMT+0800 (China Standard Time),4.36,4.42,4.07,4.27,81100,4.27,SMED
Wed Jan 08 2014 00:00:00 GMT+0800 (China Standard Time),4.23,4.36,4.1,4.32,13300,4.32,SMED
Thu Jan 09 2014 00:00:00 GMT+0800 (China Standard Time),4.32,4.37,4.19,4.19,27300,4.19,SMED
Fri Jan 10 2014 00:00:00 GMT+0800 (China Standard Time),4.22,4.47,4.22,4.34,16000,4.34,SMED
Mon Jan 13 2014 00:00:00 GMT+0800 (China Standard Time),4.35,4.44,4.3,4.3,22300,4.3,SMED
Tue Jan 14 2014 00:00:00 GMT+0800 (China Standard Time),4.33,4.39,4.25,4.28,24300,4.28,SMED
Wed Jan 15 2014 00:00:00 GMT+0800 (China Standard Time),4.33,4.52,4.33,4.46,34100,4.46,SMED
Thu Jan 16 2014 00:00:00 GMT+0800 (China Standard Time),4.41,4.41,4.28,4.29,14200,4.29,SMED
Fri Jan 17 2014 00:00:00 GMT+0800 (China Standard Time),4.28,4.59,4.28,4.56,30100,4.56,SMED
Tue Jan 21 2014 00:00:00 GMT+0800 (China Standard Time),4.55,4.91,4.5,4.72,152400,4.72,SMED
Wed Jan 22 2014 00:00:00 GMT+0800 (China Standard Time),4.93,4.95,4.75,4.76,45200,4.76,SMED
Thu Jan 23 2014 00:00:00 GMT+0800 (China Standard Time),4.72,4.72,4.63,4.66,23900,4.66,SMED
Fri Jan 24 2014 00:00:00 GMT+0800 (China Standard Time),4.65,4.7,4.5,4.65,17700,4.65,SMED
Mon Jan 27 2014 00:00:00 GMT+0800 (China Standard Time),4.6,4.95,4.25,4.89,60100,4.89,SMED
Tue Jan 28 2014 00:00:00 GMT+0800 (China Standard Time),5.2,5.9,5.08,5.27,978400,5.27,SMED
Wed Jan 29 2014 00:00:00 GMT+0800 (China Standard Time),4.96,5.27,4.96,5.01,87800,5.01,SMED
Thu Jan 30 2014 00:00:00 GMT+0800 (China Standard Time),5.14,5.14,4.52,4.72,159000,4.72,SMED
Fri Jan 31 2014 00:00:00 GMT+0800 (China Standard Time),4.66,4.8,4.41,4.61,43900,4.61,SMED
Mon Feb 03 2014 00:00:00 GMT+0800 (China Standard Time),4.65,4.7,4.45,4.5,35200,4.5,SMED
Tue Feb 04 2014 00:00:00 GMT+0800 (China Standard Time),4.58,4.6,4.48,4.48,47200,4.48,SMED
Wed Feb 05 2014 00:00:00 GMT+0800 (China Standard Time),4.52,4.65,4.43,4.45,91800,4.45,SMED
Thu Feb 06 2014 00:00:00 GMT+0800 (China Standard Time),4.7,4.93,4.53,4.79,35700,4.79,SMED
Fri Feb 07 2014 00:00:00 GMT+0800 (China Standard Time),4.92,5.25,4.86,5,175900,5,SMED
Mon Feb 10 2014 00:00:00 GMT+0800 (China Standard Time),5.06,5.38,5.01,5.35,124400,5.35,SMED
Tue Feb 11 2014 00:00:00 GMT+0800 (China Standard Time),5.4,5.4,5,5.13,116800,5.13,SMED
Wed Feb 12 2014 00:00:00 GMT+0800 (China Standard Time),5.19,5.36,5.02,5.25,46100,5.25,SMED
Thu Feb 13 2014 00:00:00 GMT+0800 (China Standard Time),5.34,5.34,5.11,5.21,52900,5.21,SMED
Fri Feb 14 2014 00:00:00 GMT+0800 (China Standard Time),5.22,5.27,5.12,5.22,33300,5.22,SMED
Tue Feb 18 2014 00:00:00 GMT+0800 (China Standard Time),5.17,5.36,5.17,5.36,54400,5.36,SMED
Wed Feb 19 2014 00:00:00 GMT+0800 (China Standard Time),5.4,5.4,5.2,5.35,38800,5.35,SMED
Thu Feb 20 2014 00:00:00 GMT+0800 (China Standard Time),5.32,5.36,5.21,5.26,16500,5.26,SMED
Fri Feb 21 2014 00:00:00 GMT+0800 (China Standard Time),5.2,5.26,5.04,5.09,35400,5.09,SMED
Mon Feb 24 2014 00:00:00 GMT+0800 (China Standard Time),5.19,5.19,4.94,4.96,65500,4.96,SMED
Tue Feb 25 2014 00:00:00 GMT+0800 (China Standard Time),4.98,4.99,4.85,4.88,46000,4.88,SMED
Wed Feb 26 2014 00:00:00 GMT+0800 (China Standard Time),4.88,5,4.85,4.89,47400,4.89,SMED
Thu Feb 27 2014 00:00:00 GMT+0800 (China Standard Time),4.87,4.96,4.83,4.87,20700,4.87,SMED
Fri Feb 28 2014 00:00:00 GMT+0800 (China Standard Time),4.86,5.04,4.8,4.8,48300,4.8,SMED
Mon Mar 03 2014 00:00:00 GMT+0800 (China Standard Time),4.75,4.86,4.75,4.79,23200,4.79,SMED
Tue Mar 04 2014 00:00:00 GMT+0800 (China Standard Time),4.78,4.9,4.78,4.81,35400,4.81,SMED
Wed Mar 05 2014 00:00:00 GMT+0800 (China Standard Time),4.77,4.89,4.68,4.74,33500,4.74,SMED
Thu Mar 06 2014 00:00:00 GMT+0800 (China Standard Time),4.75,4.83,4.7,4.75,35100,4.75,SMED
Fri Mar 07 2014 00:00:00 GMT+0800 (China Standard Time),4.75,4.76,4.7,4.7,44500,4.7,SMED
Mon Mar 10 2014 00:00:00 GMT+0800 (China Standard Time),4.7,4.82,4.7,4.8,25000,4.8,SMED
Tue Mar 11 2014 00:00:00 GMT+0800 (China Standard Time),4.97,5,4.75,4.78,22500,4.78,SMED
Wed Mar 12 2014 00:00:00 GMT+0800 (China Standard Time),4.75,4.79,4.72,4.73,38800,4.73,SMED
Thu Mar 13 2014 00:00:00 GMT+0800 (China Standard Time),4.73,4.76,4.61,4.61,37600,4.61,SMED
Fri Mar 14 2014 00:00:00 GMT+0800 (China Standard Time),4.57,4.71,4.57,4.7,7700,4.7,SMED
Mon Mar 17 2014 00:00:00 GMT+0800 (China Standard Time),4.72,4.72,4.59,4.62,16100,4.62,SMED
Tue Mar 18 2014 00:00:00 GMT+0800 (China Standard Time),4.65,4.68,4.56,4.57,21300,4.57,SMED
Wed Mar 19 2014 00:00:00 GMT+0800 (China Standard Time),4.54,4.6,4.53,4.55,22400,4.55,SMED
Thu Mar 20 2014 00:00:00 GMT+0800 (China Standard Time),4.57,4.6,4.5,4.52,11600,4.52,SMED
Fri Mar 21 2014 00:00:00 GMT+0800 (China Standard Time),4.5,4.84,4.5,4.72,34700,4.72,SMED
Mon Mar 24 2014 00:00:00 GMT+0800 (China Standard Time),4.8,4.83,4.5,4.56,43600,4.56,SMED
Tue Mar 25 2014 00:00:00 GMT+0800 (China Standard Time),4.61,4.62,4.5,4.5,31200,4.5,SMED
Wed Mar 26 2014 00:00:00 GMT+0800 (China Standard Time),4.5,4.57,4.5,4.51,12200,4.51,SMED
Thu Mar 27 2014 00:00:00 GMT+0800 (China Standard Time),4.51,4.51,4.31,4.32,51500,4.32,SMED
Fri Mar 28 2014 00:00:00 GMT+0800 (China Standard Time),4.35,4.5,4.3,4.32,23500,4.32,SMED
Mon Mar 31 2014 00:00:00 GMT+0800 (China Standard Time),4.37,4.63,4.35,4.58,37600,4.58,SMED
Tue Apr 01 2014 00:00:00 GMT+0800 (China Standard Time),4.61,4.69,4.5,4.51,23800,4.51,SMED
Wed Apr 02 2014 00:00:00 GMT+0800 (China Standard Time),4.54,4.7,4.44,4.7,44900,4.7,SMED
Thu Apr 03 2014 00:00:00 GMT+0800 (China Standard Time),4.65,4.65,4.38,4.39,20400,4.39,SMED
Fri Apr 04 2014 00:00:00 GMT+0800 (China Standard Time),4.43,4.5,4.24,4.29,28300,4.29,SMED
Mon Apr 07 2014 00:00:00 GMT+0800 (China Standard Time),4.33,4.4,4.2,4.21,49400,4.21,SMED
Tue Apr 08 2014 00:00:00 GMT+0800 (China Standard Time),4.21,4.25,4.2,4.2,21700,4.2,SMED
Wed Apr 09 2014 00:00:00 GMT+0800 (China Standard Time),4.25,4.26,4.21,4.24,20300,4.24,SMED
Thu Apr 10 2014 00:00:00 GMT+0800 (China Standard Time),4.2,4.23,4.03,4.17,33700,4.17,SMED
Fri Apr 11 2014 00:00:00 GMT+0800 (China Standard Time),4.16,4.18,4.1,4.13,20000,4.13,SMED
Mon Apr 14 2014 00:00:00 GMT+0800 (China Standard Time),4.19,4.19,3.8,4.05,49500,4.05,SMED
Tue Apr 15 2014 00:00:00 GMT+0800 (China Standard Time),4.03,4.11,4,4.07,37000,4.07,SMED
Wed Apr 16 2014 00:00:00 GMT+0800 (China Standard Time),4.06,4.11,4.02,4.07,9300,4.07,SMED
Thu Apr 17 2014 00:00:00 GMT+0800 (China Standard Time),4.03,4.09,4.02,4.06,19800,4.06,SMED
Mon Apr 21 2014 00:00:00 GMT+0800 (China Standard Time),4.02,4.04,4,4.02,38800,4.02,SMED
Tue Apr 22 2014 00:00:00 GMT+0800 (China Standard Time),4.03,4.04,3.95,4.04,29000,4.04,SMED
Wed Apr 23 2014 00:00:00 GMT+0800 (China Standard Time),4.02,4.06,3.99,4.06,17900,4.06,SMED
Thu Apr 24 2014 00:00:00 GMT+0800 (China Standard Time),4.07,4.28,4.04,4.21,50800,4.21,SMED
Fri Apr 25 2014 00:00:00 GMT+0800 (China Standard Time),4.23,4.24,4.02,4.19,28800,4.19,SMED
Mon Apr 28 2014 00:00:00 GMT+0800 (China Standard Time),4.16,4.18,3.96,4.07,30500,4.07,SMED
Tue Apr 29 2014 00:00:00 GMT+0800 (China Standard Time),4.1,4.12,4.05,4.09,7200,4.09,SMED
Wed Apr 30 2014 00:00:00 GMT+0800 (China Standard Time),4.09,4.27,3.98,4.11,125800,4.11,SMED
Thu May 01 2014 00:00:00 GMT+0800 (China Standard Time),4.14,4.22,4,4.01,49800,4.01,SMED
Fri May 02 2014 00:00:00 GMT+0800 (China Standard Time),4.03,4.06,3.98,4.02,142800,4.02,SMED
Mon May 05 2014 00:00:00 GMT+0800 (China Standard Time),3.98,4.02,3.9,3.95,35400,3.95,SMED
Tue May 06 2014 00:00:00 GMT+0800 (China Standard Time),3.92,4.07,3.91,3.91,58800,3.91,SMED
Wed May 07 2014 00:00:00 GMT+0800 (China Standard Time),4,4.12,3.95,4.01,25900,4.01,SMED
Thu May 08 2014 00:00:00 GMT+0800 (China Standard Time),3.96,4,3.9,3.9,35200,3.9,SMED
Fri May 09 2014 00:00:00 GMT+0800 (China Standard Time),3.9,4.02,3.9,3.9,39000,3.9,SMED
Mon May 12 2014 00:00:00 GMT+0800 (China Standard Time),3.9,4.03,3.9,3.93,18800,3.93,SMED
Tue May 13 2014 00:00:00 GMT+0800 (China Standard Time),3.93,4.04,3.9,3.9,26100,3.9,SMED
Wed May 14 2014 00:00:00 GMT+0800 (China Standard Time),3.9,3.92,3.9,3.9,11000,3.9,SMED
Thu May 15 2014 00:00:00 GMT+0800 (China Standard Time),3.9,3.95,3.89,3.89,16600,3.89,SMED
Fri May 16 2014 00:00:00 GMT+0800 (China Standard Time),3.9,3.93,3.9,3.9,9600,3.9,SMED
Mon May 19 2014 00:00:00 GMT+0800 (China Standard Time),3.9,3.94,3.9,3.91,16600,3.91,SMED
Tue May 20 2014 00:00:00 GMT+0800 (China Standard Time),3.9,3.94,3.89,3.91,23400,3.91,SMED
Wed May 21 2014 00:00:00 GMT+0800 (China Standard Time),3.9,3.93,3.9,3.92,5200,3.92,SMED
Thu May 22 2014 00:00:00 GMT+0800 (China Standard Time),3.9,3.93,3.9,3.92,6800,3.92,SMED
Fri May 23 2014 00:00:00 GMT+0800 (China Standard Time),3.9,4.16,3.9,4.12,77000,4.12,SMED
Tue May 27 2014 00:00:00 GMT+0800 (China Standard Time),4.12,4.2,3.88,4.04,50800,4.04,SMED
Wed May 28 2014 00:00:00 GMT+0800 (China Standard Time),4.05,4.05,3.85,3.89,63700,3.89,SMED
Thu May 29 2014 00:00:00 GMT+0800 (China Standard Time),3.89,3.96,3.89,3.94,27600,3.94,SMED
Fri May 30 2014 00:00:00 GMT+0800 (China Standard Time),3.93,3.95,3.85,3.93,64600,3.93,SMED
Mon Jun 02 2014 00:00:00 GMT+0800 (China Standard Time),3.91,4.09,3.88,4.04,30600,4.04,SMED
Tue Jun 03 2014 00:00:00 GMT+0800 (China Standard Time),4.06,4.14,4,4.07,16000,4.07,SMED
Wed Jun 04 2014 00:00:00 GMT+0800 (China Standard Time),4.04,4.05,3.91,3.98,32000,3.98,SMED
Thu Jun 05 2014 00:00:00 GMT+0800 (China Standard Time),3.95,4.06,3.91,4.05,21800,4.05,SMED
Fri Jun 06 2014 00:00:00 GMT+0800 (China Standard Time),4.1,4.33,4.09,4.33,49300,4.33,SMED
Mon Jun 09 2014 00:00:00 GMT+0800 (China Standard Time),4.28,4.31,4.23,4.3,11400,4.3,SMED
Tue Jun 10 2014 00:00:00 GMT+0800 (China Standard Time),4.26,4.3,4.15,4.15,8900,4.15,SMED
Wed Jun 11 2014 00:00:00 GMT+0800 (China Standard Time),4.25,4.3,4.15,4.28,24900,4.28,SMED
Thu Jun 12 2014 00:00:00 GMT+0800 (China Standard Time),4.23,4.26,4.15,4.25,21700,4.25,SMED
Fri Jun 13 2014 00:00:00 GMT+0800 (China Standard Time),4.26,4.28,4.18,4.21,59100,4.21,SMED
Mon Jun 16 2014 00:00:00 GMT+0800 (China Standard Time),4.18,4.24,4.07,4.09,18900,4.09,SMED
Tue Jun 17 2014 00:00:00 GMT+0800 (China Standard Time),4.14,4.21,4.1,4.15,33200,4.15,SMED
Wed Jun 18 2014 00:00:00 GMT+0800 (China Standard Time),4.12,4.25,4.11,4.25,27600,4.25,SMED
Thu Jun 19 2014 00:00:00 GMT+0800 (China Standard Time),4.27,4.53,4.22,4.5,27400,4.5,SMED
Fri Jun 20 2014 00:00:00 GMT+0800 (China Standard Time),4.53,4.55,4.39,4.52,27800,4.52,SMED
Mon Jun 23 2014 00:00:00 GMT+0800 (China Standard Time),4.38,4.45,4.31,4.37,24000,4.37,SMED
Tue Jun 24 2014 00:00:00 GMT+0800 (China Standard Time),4.33,4.49,4.31,4.45,17200,4.45,SMED
Wed Jun 25 2014 00:00:00 GMT+0800 (China Standard Time),4.44,4.44,4.31,4.33,8600,4.33,SMED
Thu Jun 26 2014 00:00:00 GMT+0800 (China Standard Time),4.33,4.41,4.32,4.36,5200,4.36,SMED
Fri Jun 27 2014 00:00:00 GMT+0800 (China Standard Time),4.4,4.44,4.35,4.44,26300,4.44,SMED
Mon Jun 30 2014 00:00:00 GMT+0800 (China Standard Time),4.44,4.45,4.39,4.4,36300,4.4,SMED
Tue Jul 01 2014 00:00:00 GMT+0800 (China Standard Time),4.4,4.57,4.36,4.5,34500,4.5,SMED
Wed Jul 02 2014 00:00:00 GMT+0800 (China Standard Time),4.51,4.75,4.5,4.61,55400,4.61,SMED
Thu Jul 03 2014 00:00:00 GMT+0800 (China Standard Time),4.66,4.66,4.6,4.62,12900,4.62,SMED
Mon Jul 07 2014 00:00:00 GMT+0800 (China Standard Time),4.7,4.7,4.52,4.59,18600,4.59,SMED
Tue Jul 08 2014 00:00:00 GMT+0800 (China Standard Time),4.58,4.6,4.55,4.6,11100,4.6,SMED
Wed Jul 09 2014 00:00:00 GMT+0800 (China Standard Time),4.6,4.6,4.39,4.55,12000,4.55,SMED
Thu Jul 10 2014 00:00:00 GMT+0800 (China Standard Time),4.46,4.55,4.4,4.53,10000,4.53,SMED
Fri Jul 11 2014 00:00:00 GMT+0800 (China Standard Time),4.48,4.54,4.47,4.47,36700,4.47,SMED
Mon Jul 14 2014 00:00:00 GMT+0800 (China Standard Time),4.48,4.52,4.39,4.45,35600,4.45,SMED
Tue Jul 15 2014 00:00:00 GMT+0800 (China Standard Time),4.38,4.43,4.36,4.4,22100,4.4,SMED
Wed Jul 16 2014 00:00:00 GMT+0800 (China Standard Time),4.36,4.42,4.31,4.35,58900,4.35,SMED
Thu Jul 17 2014 00:00:00 GMT+0800 (China Standard Time),4.24,4.39,4.24,4.37,23700,4.37,SMED
Fri Jul 18 2014 00:00:00 GMT+0800 (China Standard Time),4.38,4.48,4.31,4.45,10600,4.45,SMED
Mon Jul 21 2014 00:00:00 GMT+0800 (China Standard Time),4.37,4.48,4.37,4.41,24900,4.41,SMED
Tue Jul 22 2014 00:00:00 GMT+0800 (China Standard Time),4.39,4.6,4.38,4.59,44400,4.59,SMED
Wed Jul 23 2014 00:00:00 GMT+0800 (China Standard Time),4.58,4.7,4.57,4.67,39500,4.67,SMED
Thu Jul 24 2014 00:00:00 GMT+0800 (China Standard Time),4.66,4.68,4.65,4.66,20500,4.66,SMED
Fri Jul 25 2014 00:00:00 GMT+0800 (China Standard Time),4.66,4.67,4.62,4.65,29400,4.65,SMED
Mon Jul 28 2014 00:00:00 GMT+0800 (China Standard Time),4.65,4.66,4.57,4.66,24900,4.66,SMED
Tue Jul 29 2014 00:00:00 GMT+0800 (China Standard Time),4.63,4.65,4.51,4.62,18100,4.62,SMED
Wed Jul 30 2014 00:00:00 GMT+0800 (China Standard Time),4.59,4.65,4.59,4.61,19800,4.61,SMED
Thu Jul 31 2014 00:00:00 GMT+0800 (China Standard Time),4.56,4.64,4.5,4.61,25100,4.61,SMED
Fri Aug 01 2014 00:00:00 GMT+0800 (China Standard Time),4.61,4.61,4.54,4.59,2000,4.59,SMED
Mon Aug 04 2014 00:00:00 GMT+0800 (China Standard Time),4.57,4.61,4.53,4.61,30400,4.61,SMED
Tue Aug 05 2014 00:00:00 GMT+0800 (China Standard Time),4.54,4.63,4.51,4.63,27600,4.63,SMED
Wed Aug 06 2014 00:00:00 GMT+0800 (China Standard Time),4.61,4.65,4.56,4.64,5100,4.64,SMED
Thu Aug 07 2014 00:00:00 GMT+0800 (China Standard Time),4.65,4.66,4.54,4.66,52500,4.66,SMED
Fri Aug 08 2014 00:00:00 GMT+0800 (China Standard Time),4.64,4.67,4.55,4.66,39700,4.66,SMED
Mon Aug 11 2014 00:00:00 GMT+0800 (China Standard Time),4.66,4.9,4.63,4.76,137800,4.76,SMED
Tue Aug 12 2014 00:00:00 GMT+0800 (China Standard Time),4.78,4.8,4.68,4.78,65900,4.78,SMED
Wed Aug 13 2014 00:00:00 GMT+0800 (China Standard Time),4.78,4.9,4.6,4.71,175100,4.71,SMED
Thu Aug 14 2014 00:00:00 GMT+0800 (China Standard Time),4.77,4.77,4.6,4.68,32000,4.68,SMED
Fri Aug 15 2014 00:00:00 GMT+0800 (China Standard Time),4.65,4.69,4.57,4.64,29100,4.64,SMED
Mon Aug 18 2014 00:00:00 GMT+0800 (China Standard Time),4.57,4.61,4.45,4.52,45900,4.52,SMED
